Name,Code
كگل,35700344742885862
فولاد,46348559193224090
فارس,25244329144808274
ايران,35425587644337450
شستا,2400322364771558
شپنا,7745894403636165
تاپيكو,22560050433388046
ملت,778253364357513
تجارت,63917421733088077
ايران,28320293733348826
بندرعباس,35366681030756042
خگستر,48990026850202503
دي,44818950263583523
اصفهان,9211775239375291
چكاپا,12329915567896606
سبزوار,611986653700161
سمگا,46741025610365786
ماديرا,15917865009187760
كرمان,50792786683910016
مارون,53449700212786324
صبا,45392752356003555
تندگويان,5987841496184505
كگهر,30703140537034664
زاگرس,13235547361447092
هرمز,70498485598181604
وخارزم,7395271748414592
خوساز,31879190587976736
شيران,35796086458096255
خفنر,28033133021443774
بركت,34557241988629814
كفرا,23837844039713715
قثابت,44967158778304588
دپارس,70474983732269112
غدام,2254054929817435
غشان,31791737198597563
سهرمز,29747059672582491
سصفها,10568944722570445
خپويش,4758266259250794
نمرينو,30231789123900526
بكاب,70219663893822560
دروز,40262275031537922
فنورد,56324206651661881
ونيكي,25336820825905643
مرقام,23838634016123354
مداران,65999092673039059
دتماد,34641719089573667
كرماشا,38437201078089290
وصندوق,37204371816016200
كروي,22787503301679573
كنور,20411759370751096
افقح,1911343624441437
حكشتيح,14364842601603807
تكشاح,66191028275418950
دعبيدح,7585208964980608
دابورح,32679348534913643
اميدح,45104299259467366
كفراح,20622681776256207
سيتا,10171945867136336
ولپارس,48241092863917835
خودرو,65883838195688438
شتران,51617145873056483
رمپنا,67126881188552864
كدما,3623921205367364
وبشهر,13937270451301973
دكوثر,23353689102956991
غسالم,28672095850798501
شفارس,43781018754867729
بترانس,46752599569017089
قمرو,43342306308122676
لوتوس,59142194115401696
غالبر,24303422207378456
فخاس,4733285133017464
بكام,22382156782768756
افق,49502666250908008
كالا,44549439964296944
اكالا,49869693814643443
نكالا,10919655792568926
تكالا,67612261115225625
وصنعت,57309221039930244
كچاد,18027801615184692
شنفت,14073782708315535
دالبر,60451823714332895
پترول,69143674941561637
دسبحان,5866848234665627
دعبيد,49054891736433700
تكشا,62258804563636993
وتوصا,2944500421562364
تپمپي,43062880954780884
اميد,18599703143458101
خمحركه,39436183727126211
درازك,22255783119783047
حكشتي,60610861509165508
دابور,61332057061846617
كسرا,4614779520007780
ونوين,47302318535715632
سشمال,6757220448540984
ختوقا,70289374539527245
چكارن,53113471126689455
غشهد,20487994977117557
غپينو,18401147983387689
تيپيكو,29758477602878557
ديران,69090868458637360
پكوير,7235435095059069
ونيرو,62603302940123327
غشصفا,61506294208022391
كوير,43545527030854340
وپارس,33293588228706998
خساپا,44891482026867833
دانا,48511238766369097
غچين,44850033148208596
پاكشو,62786156501584862
ومعادن,58931793851445922
غنوش,48619517949257749
شبريز,48753732042176709
گلوكوزان,22299894048845903
كماسه,67690708346979840
كحافظ,32257753560585502
سيلام,14617104402836487
كبافق,43256212620530446
قهكمت,14398278072324784
پاسا,63580313877463104
فولاژ,40808043719554948
غگرجي,31024260997481994
دامين,50100062518826135
وبيمه,11773403764702778
فسازان,12874072841236826
چدن,12329519546621752
خريخت,12752224677923341
چفيبر,64358061873294912
فرآور,408934423224097
كرازي,57086055330734195
تايرا,19298748452450329
وسكاب,11258722998911897
كاوه,60350996279289099
حتايد,3722699128879020
ختراك,22903901709044823
كخاك,16405556680571453
خموتور,57273529732791251
ثفارس,30852391633490755
پارسيان,9481703061634967
شاملا,16959429956899455
بورس,60523145697836739
كبورس,37366608481858080
نبورس,60095061789823130
بسويچ,47377315952751604
شخارك,70934270174405743
وخاور,47333458678352378
دسينا,11432067920374603
خاذين,42075223783409640
شسپا,49188729526980541
خاهن,7483280423474368
سخوز,41974758296041288
دفارا,56550776668133562
والبر,57944184894703821
سمازن,33808206014018431
ركيش,27952969918967492
وآذر,1358190916156744
دجابر,33406621820337161
همراه,68635710163497089
تنوين,25357135030606405
سصوفي,13227300125161435
رتكو,3823243780502959
سبهان,32525655729432562
سخزر,67327029014085707
دارو,67988012428906654
چافست,23936607891892333
سغرب,52220424531578944
سفانو,4528607775462304
سنير,14231831499205396
لسرما,55897939403232751
غمهرا,6131290133202745
سپ,71856634742001725
خزر,32821908911812078
t,37631109616997982
سيستم,47749661205825616
تكنو,3654864906585643
كگاز,62346804681275278
دزهراوي,8915450910866216
فخوز,28864540805361867
قنيشا,63380098535169030
حفارس,35424116338766901
شپترو,11640540339380126
وتوس,68117765376081366
شپاكسا,11622051128546106
ثشاهد,63481599728522324
شگل,44153164692325703
خمهر,17330546482145553
فجام,30765727085936322
ثنوسا,32845891587040106
قلرست,56820995669577571
ددام,66450490505950110
كپارس,9698674686691945
شدوص,40611478183231802
آپ,55254206302462116
دلقما,29247915161590165
جم,32357363984168442
دسبحا,43622578471330344
كطبس,8977369674477111
خنصير,17834623106317041
دفرا,18303237082155264
حفاري,28809886765682162
رانفور,40505767672724777
دكيمي,20024911381434086
شبهرن,22667016906590506
ورنا,7385624172574740
پرداخت,59607545337891226
سقاين,60654872678917533
غشاذر,59921975187856916
رتاپ,41048299027409941
t,4942127026063388
داسوه,12387472624849835
شلعاب,39116664428676213
خشرق,63915926161403347
فاما,34673681828119297
سكرد,65321970913593427
وسپه,2328862017676109
وصنا,46982154647719707
شكلر,62177651435283872
خكار,59217041815333317
فباهنر,66772024744156373
پرديس,15039949673085566
كاذر,49353447565507376
زمگسا,5054819322815158
كهمدا,67206358287598044
ولساپا,45174198424472334
وتوشه,54676885047867737
ما,29860265627578401
فجر,41302553376174581
سپاها,35669480110084448
سيدكو,37281199178613855
ثاخت,17800036702302776
غبهنوش,17059960254855208
غپاك,34032872653290886
خبهمن,26824673819862694
شپارس,61102694810476197
ساربيل,34890845654517313
بنيرو,20453828618330936
شاراك,7711282667602555
كپشير,57639364758870873
سرود,11964419322927535
دشيمي,33603212156438463
ساروم,15949743338644220
سكرما,15472396110662150
فايرا,65004959184388996
غمارگ,52975109254504632
بالبر,62952165421099192
شپلي,31920617569703557
بفجر,46178280540110577
چكاوه,24254843881948059
خكاوه,51922189364308501
سدشت,27000326841257664
خپارس,42354736493447489
وپخش,7183333492448248
واعتبار,47841327496247362
غديرهلدينگ,26014913469567886
قزوين,15259343650667588
واتي,33541897671561960
وتوكا,47232550823972469
پكرمان,23214828924506640
كساپا,28325731560106431
سشرق,26997316501080743
سفارس,15521712617204216
تمحركه,15826229869421585
ولغدر,23086515493897579
ملت,13611044044646901
وانصار,49776615757150035
پلاسك,57722642338781674
ثاباد,59612098290740355
حتوكا,22260326095996531
ثمسكن,3863538898378476
غبشهر,42387718866026650
وساپا,37614886280396031
كساوه,25001509088465005
كسعدي,29122854902865456
دلر,4384288570322406
اخابر,22811176775480091
خرينگ,45895339414786358
فاراك,20865316761157979
خچرخش,33783140337377394
خزاميا,2589887561569709
وبهمن,18063426072758458
ونفت,33931218652865616
پسهند,10120557300120078
سدور,27218386411183410
پارسان,23441366113375722
البرز,70270965300262393
وبانك,48010225447410247
ختور,50185721305191887
فسپا,8977441217024425
وبوعلي,28328710198554144
وپاسار,9536587154100457
پدرخش,24079409192818584
قنقش,34454945407422432
شپديس,20562694899904339
كمنگنز,50341528161302545
بشهاب,69454539056549106
ساراب,4563413583000719
ثشرق,6043384171800349
غاذر,35158826900216508
پاساح,32338211917133256
ولصنم,71744682148776880
لابسا,63363116407864462
فنوال,57875847776839336
فمراد,18004480270695404
خكمك,19257295292088310
وتوسم,17528249960294496
كترام,24085906177899789
ثاژن,22215980602177059
كسرام,20560887114747719
شيراز,38568786927478796
شسينا,30974710508383145
وسينا,45050389997905274
واميد,52232388263291380
تكمبا,30719054967088301
پتاير,41935584690956944
وپست,22087269603540841
شفارا,67965884006655065
خمحور,7457232989848872
خاور,67059303301834130
فاسمين,66701874099226162
فروس,54419429862704331
قشكر,35964395659427029
ستران,30829203706095076
وكار,47996917271187218
بموتو,22086876724551482
قپيرا,67030488744129337
وليز,20946530370469828
كلوند,32678431934327184
فاذر,38547060135156069
قصفها,40411537531154482
سفار,41227201752535311
لبوتان,30650426998863332
خلنت,14957056743925737
آكنتور,44834847569322522
آسيا,51106317433079213
فلوله,48623320733330408
فلامي,25286509736208688
شپمچا,38417665293111458
حپترو,16369313804633525
لخزر,65414507129586385
فوكا,20253580805051293
كنيلو,786234965064488
فالوم,70849059438036431
فسرب,54277068923045214
دتهران,26114418513020265
شتهران,49831372632909204
تراك,8106875813689926
شتولي,67422066034966650
سخاش,4470657233334072
غيوان,21940781391333638
سفارود,62422436072345198
كايتا,13196430375349226
فبيرا,31892548539456357
سپرمي,61436127547874135
غدشت,2434703913394836
لپارس,5187018329202415
نبروج,60061422939859083
ودي,43966385447049549
تملي709,48043180063638654
گكوثر,66599109405217136
زقيام,71290297158948749
تليسه,41781090739318251
كشرق,42690477960659940
بساما,41625340598198551
خديزل,38084304113529336
غگلستا,64843936383937546
پ,17617474823279712
تبرك,53204330224889981
حسينا,1625149423498289
حپارسا,917857106093847
پخش,12638840758449459
دكپسول,52382684379473036
مبين014,61948819034785721
حكمت01,43039599691270215
آريا,55127657985997520
وپويا,24785665268004766
پيزد,32784604551756178
وملل,24644999329120295
ساوه,32347247706508046
دسانكو,47348197320716810
فرابورس,58741071099161284
رنيك,33854964748757477
نطرين,64699417405634265
ميدكو,24018878640527909
غويتا,37842793167868642
فزرين,43716452378323683
كيميا,27814844870305607
غگلپا,14312030900097668
غفارس,16410724132711490
اتكام,46772701938567445
ثغرب,17939384202383793
زكشت,7300125658580126
غمينو,5516102131364383
حريل,5564768007356822
سرچشمه,35948133957468680
توريل,37389789764168256
كوثر,22275596386264204
گوهران,65018804181564924
اپرداز,63830424809501048
شتوكا,38555056423456635
ارفع,59266699437480384
وآوا,22490169030401337
اتكاي,39751275523025334
كپرور,22941065011246116
بپاس,51971068201094874
كاسپين,28431095903407567
دبالك,71510396252618330
اوان,69847139870135237
دتوليد,18093681647131179
اعتلا,36773155987365094
كمرجان,50633804639547462
ولشرق,31078457170311964
بهپاك,12746730665870442
حسير,13281937213456378
خراسان,33611155027418901
داوه,5305844922895340
افرا,52792903131341205
سي,62977319271289925
ريشمك,6478064539164167
ثالوند,16693610252404739
تسه9701,11332953223903902
تسه9612,48338606859106961
ميهن,26543014712914772
تسه9611,55848849021200650
سدبير,64341992373049080
بالاس,8646067353086740
ثپرديس,53999651992586159
تسه9610,19920168236103182
تسه9609,24794536744903047
تسه9608,10831551130410639
تسه9607,37998178264888078
تسه9606,61978257933030834
ثباغ,68909035712962732
تسه9605,40346507120206669
تسه9604,21851863906501460
شرانل,44013656953678055
شپاس,35178706978554988
حكمت,7881099657101647
تسه9603,16725382720692568
وهور,25215182208950217
كتوكا,65671173927025645
تسه9602,47245955682789926
تسه9601,68151613203549690
تسه9512,30038978589192551
قشير,71523986304961239
تسه9511,21350214000597969
تسه9510,31723276281575803
تسه9509,37219684915629654
خفناور,7727396367939916
تسه9507,27157296306913953
تسه9506,8817369445940242
بكهنوج,7628308021169118
تسه9505,7420013136569528
سيستم,50732326426469382
تسه9504,17217689629682758
دماوند,66142616039907394
تسه9503,5019865278498569
تسه9502,24095835622675205
شتران,34066377223628725
حخزر,28253678449273505
تسه9501,58432687994606328
ثتران,20926459161497908
تسه9412,5129610654133588
فولاي,14800142337291217
تسه9411,13257702488701597
چپارس,59618936359358279
تسه9410,62510539517566517
ولبهمن,48287670503317419
تسه9409,29634899116753177
تسه9408,71660022674703810
ثعمرا,15726796686853780
سبحان,11091856606007867
تسه9407,43957999447199101
وسبحان,43283802997035462
تسه9406,33431647616303833
قاسم,34540569618314880
تسه9405,49199087305126682
ثرود,18883380772506226
تسه9404,49618574076860446
تسه9403,63299563441010676
تسه9402,18807759244885028
تسه9312,28689570019072302
تسه9311,51818283624304658
تسه9310,37946483689401180
تسه9309,63590061786632313
تسه9308,18386853936374230
تسه9307,5375527828569577
تسه9306,9896581065558383
تسه9305,25485128449538632
وگردش,66790687790437196
جم,36224343915714474
تسه9304,11783645702846141
تسه9303,41852737992150281
تسه9302,5412524775617700
تسه9301,40756737536879408
تسه9212,55910871837550367
تسه9211,39337083665364092
تسه9210,13313496265135255
تسه9209,50276422352366581
تسه9208,37163551945096882
زنگان,67170215467608124
تسه9207,1359959101711313
تسه9206,69465793209205703
تسه9205,42070382870377817
تسه9204,17828928229984367
تسه9203,64749875350678762
كنور,2950378541189013
تسه9202,44275397707148088
ثشرق,40394021371311628
تسه9201,48305002535402787
تسه9112,11214189898887899
تسه9107,65890979512650954
تسه9108,1245925241417929
تسه9109,48045086469637559
تسه9110,12338753854555828
تسه9111,66492965118417192
تسه9106,25095385550006158
تسه9105,60767592882123239
خارزم,56883298211786806
تسه9104,9097515773407564
تسه9103,48393054214913539
خاورميانه,6479253536750886
تسه9102,68995806996389257
تسه9101,14098803458396918
تسه9010,39348926601774626
تسه9011,12364611634133528
تسه9012,163301738200990
گچساران,35113075091643530
انفورماتيك,53361855643723578
سكاب,53641635925683969
تسه9007,71086267369556869
تسه9008,69569067443305938
تسه9009,33400647129589624
پترومرواريد,70131166122617924
تبريز,45446499784751546
گردشگري,49703334175145583
تسه9006,61951543013892913
تسه9005,27221698970690062
تسه9004,30592968583865547
تسه8909,43638198413087069
وزمين,18189314283954605
تسه9003,59298826747161711
سمايه,10411612959317157
تسه9002,38087994492605307
-آرين,34186024944625724
تسه9001,52620240501253486
شپديس,14522053794333421
تسه8912,46305227678799659
تسه8911,59463449825542330
تسه8910,28849950336645207
همراه,26787658273107220
تسه8908,50026314345467725
تسه8907,57731325451718490
بجهرم,33629260529503413
ايران,2318736941376687
لردگان,56429431740318486
ديزل,16315910303613772
شانديز,70391097626818082
پيام,793710053482057
گازلوله,29316948750916349
ورشكسته,20966291817819448
آبگينه,10654052153538617
پرميت,27668158733246204
كرد,35445515321658835
گامرون,1050751214677134
سكهt,57551382352708199
كرونا2,57395291357606965
وكوثر,41036181221659834
شليا,50357669250352454
وآداك,14880127004206268
شپلي,28845264556937486
توسعه,7769065543658313
دهدشت,15374483986949695
كازرو,16777570760181431
ممسني,7505990056227818
شمواد,28251956446987982
شستان,3173544097113770
